object,ch,prop,frame,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
nuc,/home/data/HeLa/Set0_2/processed/*,cv_intensity,9,0.163431122899,,0.141588106751,0.179657116532,,,0.179192125797,,0.109925933182,0.0656812861562,0.0649065598845,0.345867067575,0.409620583057,0.133600130677,0.111776612699,0.0975043550134,,,,,,,,,,,,,,,
nuc,/home/data/HeLa/Set0_2/processed/*,cv_intensity,10,0.231724604964,,0.180308327079,0.210335686803,,,0.155776530504,,0.0615258105099,0.0715308263898,0.0696402713656,0.184634461999,,,0.194536343217,,0.186849728227,0.0474279485643,0.0819381549954,,,,,,,,,,,,
nuc,/home/data/HeLa/Set0_2/processed/*,cv_intensity,11,0.171872586012,,0.137009203434,0.21283377707,,,0.180490583181,,0.115456819534,0.0664548054338,0.0660936012864,0.31646284461,,,0.115673869848,,0.39391040802,0.141886979342,0.103047974408,,,,,,,,,,,,
nuc,/home/data/HeLa/Set0_2/processed/*,cv_intensity,12,,,0.132995560765,0.197119519114,,,0.204572126269,,0.111088126898,0.0632992759347,0.0639410987496,0.184019044042,,,,,0.140750959516,0.153459846973,0.10428763926,0.141248121858,,,,,,,,,,,
nuc,/home/data/HeLa/Set0_2/processed/*,cv_intensity,13,,,0.125541239977,0.148863583803,,,0.108608596027,,0.077575340867,0.0480433143675,0.0524900406599,,,,,,0.168841525912,,0.0772355124354,,0.153894707561,0.206538364291,0.744666993618,,,,,,,,
nuc,/home/data/HeLa/Set0_2/processed/*,cv_intensity,14,,,0.103564150631,0.140875056386,,,0.101835988462,,0.0691565722227,0.0448229312897,0.0448126867414,,,,,,0.138826906681,,0.0716265887022,,0.127628207207,0.0723880380392,0.826659023762,0.109377034009,,,,,,,
nuc,/home/data/HeLa/Set0_2/processed/*,cv_intensity,15,,,0.100908271968,0.14859174192,,,0.10396053642,,0.0776671394706,0.0483100786805,0.0459323972464,,,,,,0.12768638134,,0.0759704262018,,0.110098026693,0.08456043154,,,0.423659533262,0.523254871368,0.038236502558,,,,
nuc,/home/data/HeLa/Set0_2/processed/*,cv_intensity,16,,,0.105169005692,0.140604168177,,,0.102674640715,,0.0738272219896,0.041924983263,0.0439149811864,,,,,,,,0.0672281011939,,0.125413164496,0.188770294189,,,0.40396630764,0.119945034385,0.180205017328,0.135684490204,,,
nuc,/home/data/HeLa/Set0_2/processed/*,cv_intensity,17,,,0.102560326457,0.159531608224,,,0.146763220429,,0.0860661119223,0.0514906235039,0.0532443225384,,,,,,,,0.0804885476828,,0.136547923088,0.240932762623,,,0.787672877312,0.378107726574,0.18606005609,0.131479725242,,,
nuc,/home/data/HeLa/Set0_2/processed/*,cv_intensity,18,,,0.113693796098,0.169749975204,,,0.138152495027,,0.0893805474043,0.0535547547042,0.055666115135,,,,,,,,0.0855578482151,,0.155325263739,0.137657821178,,,,0.659019470215,,0.123451352119,0.513615727425,0.182255491614,
nuc,/home/data/HeLa/Set0_2/processed/*,cv_intensity,19,,,0.129378706217,0.198992237449,,,0.149114564061,,0.113237194717,0.0667235404253,0.0688294842839,,,,,,,,0.101139932871,,0.219793006778,0.220123052597,,,,0.485662311316,,,0.358939945698,0.158234417439,0.161139756441
nuc,/home/data/HeLa/Set0_2/processed/*,eccentricity,0,0.712942302227,0.837616384029,0.846708536148,0.779968082905,0.711743175983,0.579240441322,0.779244363308,0.877290844917,0.778835535049,0.5364356637,0.701243579388,,,,,,,,,,,,,,,,,,,,
nuc,/home/data/HeLa/Set0_2/processed/*,eccentricity,1,0.681375086308,0.840903997421,0.9622797966,0.707225561142,0.562582731247,0.600746810436,0.819070339203,0.984038829803,0.978681623936,0.633710503578,0.714815855026,,,,,,,,,,,,,,,,,,,,
nuc,/home/data/HeLa/Set0_2/processed/*,eccentricity,2,0.855258464813,,0.929951071739,0.844012498856,,,0.633763551712,,0.486349493265,0.617222547531,0.686925649643,0.592277407646,0.572018742561,0.825963497162,0.769114017487,0.774440348148,,,,,,,,,,,,,,,
nuc,/home/data/HeLa/Set0_2/processed/*,eccentricity,3,0.831322550774,,0.989316642284,0.831918239594,,,0.704805910587,,0.492064505816,0.559634685516,0.66295170784,0.667448282242,0.511782765388,0.835749149323,0.74117821455,0.608790457249,,,,,,,,,,,,,,,
nuc,/home/data/HeLa/Set0_2/processed/*,eccentricity,4,0.839408755302,,0.799120903015,0.878200948238,,,0.7262570858,,0.304472357035,0.629016339779,0.505491256714,0.6920992136,0.419722348452,0.735252082348,0.764691591263,0.639449954033,,,,,,,,,,,,,,,
nuc,/home/data/HeLa/Set0_2/processed/*,eccentricity,5,0.864107847214,,0.860183417797,0.802096962929,,,0.770414531231,,0.357309132814,0.678436160088,0.580837488174,0.71258610487,0.72130805254,0.608403980732,0.768051862717,0.545670568943,,,,,,,,,,,,,,,
nuc,/home/data/HeLa/Set0_2/processed/*,eccentricity,6,0.835095345974,,0.987354874611,0.791962623596,,,0.707734405994,,0.539645850658,0.736989140511,0.572423219681,0.777231276035,0.678851366043,0.659915983677,0.70397901535,0.623074769974,,,,,,,,,,,,,,,
nuc,/home/data/HeLa/Set0_2/processed/*,eccentricity,7,0.84307050705,,0.83384090662,0.803445100784,,,0.686541080475,,0.419573873281,0.792706310749,0.553988158703,0.695795476437,0.766731023788,0.807327926159,0.541359841824,0.49664992094,,,,,,,,,,,,,,,
nuc,/home/data/HeLa/Set0_2/processed/*,eccentricity,8,0.826307117939,,0.985450565815,0.852766394615,,,0.729673624039,,0.308940827847,0.689829468727,0.658335328102,0.778424143791,0.622609138489,0.778910636902,0.630342006683,0.485792756081,,,,,,,,,,,,,,,
nuc,/home/data/HeLa/Set0_2/processed/*,eccentricity,9,0.826565861702,,0.954578697681,0.810423672199,,,0.699198961258,,0.324432969093,0.731126010418,0.471221596003,0.760808885098,0.63157081604,0.783967673779,0.671986818314,0.503583908081,,,,,,,,,,,,,,,
